Id,order_status,order_products_value,order_freight_value,order_items_qty,order_purchase_timestamp,order_aproved_at,order_delivered_customer_date,customer_city,customer_state,customer_zip_code_prefix,review_score
80,delivered,59.0,15.85,1,2017-07-30 03:06:00,2017-07-30 03:25:00,2017-08-01 14:27:00,RIO DE JANEIRO,RJ,220,3
81,delivered,104.9,13.07,1,2017-12-22 00:17:00,2017-12-23 02:15:00,2018-01-09 19:52:00,Pindamonhangaba,SP,124,4
82,delivered,17.9,16.05,1,2017-04-06 22:39:00,2017-04-06 22:50:00,2017-04-11 12:31:00,Porto Alegre,RS,915,4
83,delivered,56.99,17.68,1,2017-05-09 20:48:00,2017-05-09 21:02:00,2017-05-18 13:22:00,Fortaleza,CE,608,4
84,delivered,29.99,24.35,1,2017-04-20 20:42:00,2017-04-20 20:55:00,2017-05-11 13:07:00,Sao Luis,MA,650,5
85,delivered,64.9,17.29,1,2017-10-16 14:56:00,2017-10-17 03:49:00,2017-11-08 21:25:00,Saquarema,RJ,289,5
86,delivered,89.9,11.24,1,2017-12-08 09:42:00,2017-12-09 02:49:00,2017-12-19 18:43:00,Pindamonhangaba,SP,124,5
87,delivered,34.9,14.52,1,2017-08-26 16:53:00,2017-08-27 17:04:00,2017-09-08 20:39:00,RIO DE JANEIRO,RJ,222,5
88,delivered,53.9,16.07,1,2018-02-27 12:55:00,2018-03-01 02:48:00,2018-03-16 14:59:00,Jaragua do Sul,SC,892,4
89,delivered,32.9,25.63,1,2018-05-11 13:10:00,2018-05-11 13:36:00,2018-05-21 16:09:00,Maringa,PR,870,5
90,delivered,79.99,17.29,1,2018-01-22 19:22:00,2018-01-22 19:36:00,2018-02-15 20:08:00,Indaiatuba,SP,133,5
91,delivered,160.0,38.08,1,2018-05-01 08:12:00,2018-05-01 08:52:00,2018-05-04 14:02:00,Batalha,PI,641,1
92,delivered,109.9,13.35,1,2017-09-19 22:17:00,2017-09-20 07:55:00,2017-10-10 18:43:00,Sao Paulo,SP,58,5
93,delivered,537.99,17.87,1,2018-04-11 22:32:00,2018-04-11 22:49:00,2018-04-27 23:14:00,RIO DE JANEIRO,RJ,227,1
94,delivered,16.0,11.85,1,2017-12-20 23:45:00,2017-12-22 02:37:00,2018-01-09 18:14:00,Marilia,SP,175,5
95,delivered,84.9,28.99,1,2018-04-22 23:23:00,2018-04-24 19:24:00,2018-04-30 17:57:00,Garanhuns,PE,552,5
96,delivered,84.99,13.15,1,2018-08-03 08:59:00,2018-08-03 09:31:00,2018-08-17 00:49:00,Sao Paulo,SP,14,4
97,delivered,238.99,18.11,1,2018-05-14 08:35:00,2018-05-14 08:52:00,2018-05-18 14:48:00,Jacaraci,BA,463,5
98,delivered,86.9,16.24,1,2017-11-22 11:32:00,2017-11-22 11:46:00,2017-12-28 19:43:00,Piracicaba,SP,134,3
99,delivered,19.8,29.04,2,2017-03-30 07:50:00,2017-03-30 08:05:00,2017-04-10 02:59:00,Macae,RJ,279,3
100,delivered,29.0,7.78,1,2018-06-05 09:10:00,2018-06-05 09:32:00,2018-06-18 12:36:00,Sao Bernardo do Campo,SP,97,4
101,delivered,339.9,39.29,1,2018-08-26 11:04:00,2018-08-26 11:15:00,2018-08-28 21:06:00,Araguaina,TO,778,5
102,delivered,103.9,11.75,1,2017-05-17 08:36:00,2017-05-17 08:45:00,2017-05-23 13:32:00,Sao Paulo,SP,43,5
103,delivered,199.99,22.05,1,2018-07-30 22:41:00,2018-08-01 02:50:00,2018-08-03 19:28:00,Sao Paulo,SP,40,1
104,delivered,139.0,23.85,1,2018-08-03 17:44:00,2018-08-07 06:15:00,2018-08-07 06:15:00,Panambi,RS,982,4
105,delivered,339.9,11.19,1,2018-03-01 22:14:00,2018-03-02 22:08:00,2018-03-09 14:48:00,Sao Caetano do Sul,SP,95,5
106,delivered,119.9,8.78,1,2018-02-06 21:09:00,2018-02-06 21:29:00,2018-02-16 20:24:00,Duque de Caxias,RJ,252,5
107,delivered,40.0,13.37,1,2017-01-28 23:45:00,2017-01-29 01:31:00,2017-02-10 17:30:00,Praia Grande,SP,117,5
108,delivered,204.99,18.68,1,2018-01-27 22:04:00,2018-01-27 22:16:00,2018-02-09 20:16:00,Sao Paulo,SP,32,5
109,delivered,39.0,12.69,1,2017-07-01 15:42:00,2017-07-04 04:10:00,2017-07-12 20:17:00,Barueri,SP,64,4
110,delivered,35.0,17.78,1,2017-09-27 12:07:00,2017-09-27 12:26:00,2017-09-30 17:13:00,Gurupi,TO,774,5
111,delivered,53.9,14.47,1,2017-11-28 21:00:00,2017-12-01 09:31:00,2018-01-23 21:38:00,SAO PAULO,SP,82,4
112,delivered,116.99,14.57,1,2018-02-01 12:31:00,2018-02-01 12:54:00,2018-02-02 16:12:00,RIO DE JANEIRO,RJ,230,2
113,delivered,12.9,16.79,1,2018-08-22 16:10:00,2018-08-22 16:25:00,2018-08-28 14:52:00,Sao Goncalo,RJ,244,5
114,delivered,104.0,14.9,1,2018-07-06 23:36:00,2018-07-07 10:10:00,2018-07-13 17:18:00,Volta Redonda,RJ,272,4
115,delivered,69.9,12.43,1,2018-05-09 18:27:00,2018-05-09 18:54:00,2018-05-22 00:08:00,Guarulhos,SP,70,4
116,delivered,69.0,15.23,1,2017-11-26 17:49:00,2017-11-26 17:58:00,2018-01-20 13:42:00,Vespasiano,MG,332,1
117,delivered,49.9,17.6,1,2017-09-29 09:32:00,2017-09-29 09:44:00,2017-09-30 16:55:00,Navegantes,SC,883,5
118,delivered,144.41,17.45,1,2017-06-27 23:11:00,2017-06-27 23:35:00,2017-06-29 10:16:00,RIO DE JANEIRO,RJ,209,4
119,delivered,597.9,17.21,1,2018-01-23 10:32:00,2018-01-23 10:59:00,2018-02-07 14:59:00,Adamantina,SP,178,2
120,delivered,220.0,13.88,1,2018-08-20 18:24:00,2018-08-20 18:35:00,2018-08-28 13:43:00,Macaubal,SP,152,5
121,shipped,23.99,7.39,1,2018-01-30 07:51:00,2018-01-30 08:13:00,2018-02-20 15:25:00,OSASCO,SP,61,2
122,invoiced,108.9,18.19,1,2018-03-31 14:20:00,2018-04-03 05:10:00,2018-04-07 00:06:00,Concordia,SC,897,1
123,delivered,35.0,11.85,1,2018-03-07 23:00:00,2018-03-09 03:00:00,2018-03-19 18:46:00,Ribeirao Preto,SP,140,5
124,delivered,364.0,64.58,1,2018-05-08 22:12:00,2018-05-08 22:31:00,2018-05-14 18:55:00,Ribeiropolis,SE,495,5
125,delivered,99.9,12.4,1,2017-03-30 14:46:00,2017-03-30 14:55:00,2017-04-27 11:08:00,Barueri,SP,64,4
126,delivered,219.99,30.47,1,2017-11-24 21:55:00,2017-11-25 01:31:00,2017-12-01 21:11:00,Nova Cruz,RN,592,5
127,delivered,56.99,8.72,1,2018-04-25 22:18:00,2018-04-25 22:31:00,2018-04-27 16:50:00,SAO PAULO,SP,81,4
128,delivered,89.1,16.59,1,2017-07-16 10:27:00,2017-07-16 10:35:00,2017-07-21 19:59:00,Santa Luzia,MG,330,5
129,delivered,199.9,15.15,1,2017-09-03 14:22:00,2017-09-03 14:30:00,,RIO DE JANEIRO,RJ,212,5
130,delivered,99.0,11.71,1,2017-11-21 12:08:00,2017-11-21 12:40:00,2017-11-28 20:33:00,Carapicuiba,SP,63,5
131,delivered,29.9,26.61,1,2017-10-19 15:08:00,2017-10-19 15:35:00,2017-10-24 15:57:00,Maraba,PA,685,5
132,delivered,86.9,21.1,1,2018-07-22 15:19:00,2018-07-23 12:32:00,2018-08-02 21:08:00,RIO DE JANEIRO,RJ,224,1
133,delivered,399.0,20.04,1,2017-12-02 14:28:00,2017-12-02 14:38:00,2017-12-11 16:17:00,RIO DE JANEIRO,RJ,219,1
134,delivered,259.9,14.84,1,2018-03-26 09:14:00,2018-03-26 09:28:00,2018-03-29 20:08:00,Americana,SP,134,5
135,shipped,54.9,17.81,1,2018-01-09 06:37:00,2018-01-09 07:27:00,2018-01-15 14:56:00,Goiania,GO,744,1
136,delivered,13.98,7.71,1,2018-02-06 18:25:00,2018-02-07 02:35:00,2018-02-14 19:07:00,BRASILIA,DF,726,5
137,delivered,199.0,28.14,1,2018-07-18 13:39:00,2018-07-18 13:50:00,2018-07-26 18:26:00,Santa Rita do Araguaia,GO,758,5
138,delivered,388.0,38.08,1,2017-03-28 16:03:00,2017-03-28 16:15:00,2017-03-31 10:07:00,Rio Branco,AC,699,1
139,delivered,29.0,7.94,1,2018-06-08 12:19:00,2018-06-08 12:37:00,2018-06-15 20:58:00,Sao Paulo,SP,26,5
140,canceled,98.49,36.2,1,2017-07-10 12:23:00,2017-07-12 02:10:00,2017-07-17 17:03:00,Pocos de Caldas,MG,377,1
141,delivered,132.7,25.68,1,2018-05-16 16:10:00,2018-05-18 04:54:00,2018-05-24 19:04:00,RIO DE JANEIRO,RJ,230,5
142,delivered,269.0,17.64,1,2018-07-05 18:40:00,2018-07-05 18:55:00,2018-07-11 21:16:00,Ouro Preto,MG,354,4
143,delivered,119.9,18.59,1,2017-09-20 17:12:00,2017-09-21 14:44:00,2017-09-28 19:47:00,RIO DE JANEIRO,RJ,210,5
144,delivered,53.9,13.46,1,2018-02-21 17:15:00,2018-02-22 16:10:00,2018-03-22 00:03:00,Sao Paulo,SP,57,5
145,delivered,124.8,14.23,1,2018-01-10 14:18:00,2018-01-11 02:48:00,2018-01-24 23:16:00,Sao Paulo,SP,20,5
146,delivered,39.99,12.96,1,2017-04-26 16:14:00,2017-04-27 17:22:00,2017-05-12 14:04:00,Paraguacu Paulista,SP,197,1
147,delivered,109.9,21.17,1,2017-11-27 19:24:00,2017-11-27 19:39:00,2017-12-08 15:41:00,RIO DE JANEIRO,RJ,226,5
148,delivered,79.9,16.32,1,2018-05-11 16:35:00,2018-05-12 03:32:00,2018-05-15 18:38:00,Tres Marias,MG,392,4
149,delivered,109.97,34.04,1,2018-05-25 08:54:00,2018-05-25 09:16:00,2018-05-30 15:06:00,Santos,SP,110,4
150,delivered,248.99,35.91,1,2017-11-26 09:32:00,2017-11-28 09:35:00,2017-12-11 19:03:00,Sao Paulo,SP,29,5
151,delivered,269.9,12.51,1,2017-11-17 21:14:00,2017-11-22 02:49:00,2017-12-05 20:23:00,Sao Paulo,SP,21,3
152,delivered,179.0,45.71,1,2018-07-23 18:27:00,2018-07-24 10:32:00,2018-08-01 19:31:00,RIO DE JANEIRO,RJ,226,5
153,delivered,99.9,0.0,1,2018-02-14 13:05:00,2018-02-14 13:15:00,2018-03-09 21:52:00,RIO DE JANEIRO,RJ,227,1
154,delivered,619.98,28.84,2,2017-04-30 22:43:00,2017-04-30 22:55:00,2017-05-12 12:04:00,Catu,BA,481,1
155,delivered,14.03,12.35,1,2018-01-10 11:33:00,2018-01-11 02:32:00,,Sao Francisco de Itabapoana,RJ,282,3
156,delivered,89.9,19.5,1,2017-05-15 16:29:00,2017-05-16 03:35:00,2017-05-23 12:51:00,BRASILIA,DF,707,1
157,delivered,205.0,18.14,1,2017-07-22 19:16:00,2017-07-22 19:25:00,2017-07-31 18:17:00,Cacapava,SP,122,4
158,delivered,255.0,18.23,1,2018-06-24 19:01:00,2018-06-24 19:20:00,2018-06-28 13:03:00,Salvador,BA,417,5
159,delivered,49.9,13.37,1,2018-07-02 12:54:00,2018-07-02 13:10:00,2018-07-06 11:52:00,Sao Paulo,SP,45,5
160,delivered,160.0,43.14,1,2017-03-06 00:14:00,2017-03-06 00:33:00,2017-03-20 09:28:00,Maceio,AL,570,1
161,delivered,149.4,90.6,6,2017-10-04 23:02:00,2017-10-04 23:14:00,2017-10-20 16:18:00,TAGUATINGA,DF,719,5
162,delivered,28.9,7.78,1,2017-12-21 17:43:00,2017-12-21 17:56:00,2018-01-04 21:56:00,Santo Andre,SP,91,4
163,delivered,199.89,15.49,1,2017-05-09 11:48:00,2017-05-11 11:45:00,,Santa Rita do Sapucai,MG,375,5
164,delivered,610.0,72.42,1,2018-02-02 16:15:00,2018-02-02 16:36:00,2018-02-20 18:09:00,Jacobina,BA,447,5
165,delivered,189.0,14.34,1,2018-06-01 11:26:00,2018-06-02 03:15:00,2018-06-05 17:44:00,Catanduva,SP,158,5
166,delivered,205.0,18.14,1,2018-08-09 16:23:00,2018-08-09 17:30:00,2018-08-14 19:12:00,Lorena,SP,126,5
167,delivered,219.99,17.17,1,2017-11-15 13:47:00,2017-11-15 13:55:00,2017-12-06 01:12:00,Irape,SP,189,5
168,delivered,159.0,16.05,1,2018-04-26 11:59:00,2018-04-26 12:11:00,2018-05-03 02:52:00,BRASILIA,DF,719,5
169,delivered,598.4,63.36,1,2018-07-15 12:37:00,2018-07-16 12:30:00,2018-07-23 23:56:00,Fortaleza,CE,607,3
170,delivered,199.0,12.95,1,2018-05-30 22:33:00,2018-05-30 22:55:00,2018-06-18 23:07:00,Sao Paulo,SP,54,1
171,delivered,99.0,17.94,1,2017-12-02 14:08:00,2017-12-02 14:17:00,2017-12-13 09:44:00,Sao Paulo,SP,20,5
172,delivered,142.99,18.72,1,2018-03-29 14:27:00,2018-03-29 14:35:00,2018-04-06 22:52:00,Santo Andre,SP,91,5
173,delivered,150.0,12.55,1,2018-06-25 15:36:00,2018-06-25 15:58:00,2018-06-27 17:18:00,Sao Paulo,SP,40,5
174,delivered,55.9,24.94,1,2017-09-11 07:54:00,2017-09-11 08:10:00,2017-09-16 16:12:00,Porto Velho,RO,768,5
175,delivered,109.9,19.56,1,2018-04-15 19:42:00,2018-04-15 19:55:00,2018-04-20 23:12:00,Volta Redonda,RJ,272,5
176,delivered,32.3,16.05,1,2018-01-13 08:19:00,2018-01-13 08:29:00,2018-01-23 18:22:00,BRASILIA,DF,725,2
177,delivered,53.99,14.13,1,2018-04-04 08:39:00,2018-04-04 08:50:00,2018-04-16 23:35:00,Belo Horizonte,MG,301,1
178,delivered,387.0,60.62,1,2017-09-26 12:32:00,2017-09-27 03:35:00,2017-10-09 18:32:00,Boituva,SP,185,5
179,delivered,158.0,25.95,1,2018-02-28 17:00:00,2018-03-02 02:10:00,2018-03-22 10:18:00,Perdizes,MG,381,5
180,delivered,101.5,21.55,1,2017-04-22 19:26:00,2017-04-22 19:41:00,2017-04-28 14:37:00,Sao Paulo,SP,51,5
181,delivered,14.9,14.52,1,2017-09-13 09:18:00,2017-09-13 13:45:00,2017-09-21 21:16:00,Curitiba,PR,825,1
182,delivered,15.9,9.34,1,2018-01-18 09:30:00,2018-01-18 09:38:00,2018-01-20 17:56:00,OSASCO,SP,60,5
183,delivered,119.0,25.31,1,2017-03-14 16:25:00,2017-03-14 16:25:00,2017-04-03 13:37:00,Sao Gabriel,RS,973,3
184,delivered,99.99,15.91,1,2017-12-20 12:30:00,2017-12-21 02:11:00,2018-01-09 15:44:00,Volta Redonda,RJ,272,3
185,delivered,49.9,7.78,1,2017-12-04 17:24:00,2017-12-04 18:30:00,2017-12-11 18:52:00,Sao Paulo,SP,48,5
186,delivered,16.46,14.12,1,2018-08-03 22:23:00,2018-08-03 22:35:00,2018-08-14 18:16:00,Belo Horizonte,MG,311,5
187,delivered,75.0,14.28,1,2018-03-29 14:29:00,2018-04-03 05:48:00,2018-04-08 16:22:00,RIO DE JANEIRO,RJ,222,3
188,delivered,238.9,16.7,1,2017-05-18 20:59:00,2017-05-18 21:10:00,2017-05-30 09:12:00,Pocos de Caldas,MG,377,1
189,delivered,44.9,16.05,1,2017-06-16 00:22:00,2017-06-16 00:35:00,2017-06-26 13:49:00,Rolante,RS,956,3
190,delivered,86.9,20.5,1,2017-07-05 09:16:00,2017-07-07 02:50:00,2017-07-17 17:23:00,Sao Paulo,SP,37,5
191,delivered,22.99,18.94,1,2018-07-27 12:45:00,2018-07-27 13:04:00,2018-08-06 17:20:00,BRASILIA,DF,706,3
192,delivered,49.0,7.6,1,2017-07-08 14:12:00,2017-07-08 14:25:00,2017-07-17 20:39:00,Sao Paulo,SP,28,5
193,delivered,69.9,16.74,1,2018-03-15 16:59:00,2018-03-15 17:15:00,2018-03-20 16:13:00,SAO PAULO,SP,82,1
194,delivered,48.0,21.47,1,2017-06-25 19:30:00,2017-06-25 19:45:00,2017-07-04 10:51:00,Volta Redonda,RJ,272,5
195,delivered,149.9,21.97,1,2018-02-28 21:27:00,2018-02-28 21:48:00,2018-03-09 13:46:00,Belo Horizonte,MG,304,4
196,delivered,150.0,13.39,1,2018-04-16 21:07:00,2018-04-16 22:10:00,2018-04-24 20:38:00,Sao Jose do Rio Preto,SP,150,5
197,delivered,99.9,16.46,1,2018-05-15 19:55:00,2018-05-16 08:36:00,2018-06-07 13:58:00,Sao Paulo,SP,42,5
198,delivered,91.33,15.39,1,2018-07-13 15:45:00,2018-07-13 16:04:00,2018-07-24 20:16:00,RIO DE JANEIRO,RJ,224,5
